Model,Composite_Score_1
R1203TS006_2,46.312726783758464
R1203TS028_3,44.82108410673992
R1203TS033_5,
R1203TS052_2,42.12900133251664
R1203TS063_4,34.8661525053816
R1203TS094_2,18.12917804950609
R1203TS110_1,25.719822805156127
R1203TS156_1,47.355578545697085
R1203TS159_1,51.1443357120433
R1203TS165_3,36.4044623618321
R1203TS167_2,39.144657223052626
R1203TS169_5,23.199106052224305
R1203TS183_5,42.03461942474576
R1203TS189_5,46.751525878495755
R1203TS208_1,20.637177306302124
R1203TS231_1,49.46587176666255
R1203TS235_2,53.185500332650804
R1203TS238_5,43.94499260804032
R1203TS241_3,57.25657192375187
R1203TS261_3,21.371878485979813
R1203TS267_1,41.17354395824155
R1203TS272_4,38.55913481248937
R1203TS276_1,37.630320933872696
R1203TS286_1,42.969913969371035
R1203TS294_1,38.55936234121894
R1203TS298_1,27.514610177749205
R1203TS304_3,57.25657192375187
R1203TS306_1,12.724633984869532
R1203TS317_4,33.07427373014237
R1203TS338_5,34.77527998560605
R1203TS358_2,25.69752202096448
R1203TS367_1,28.386457991726576
R1203TS369_2,47.34948269019446
R1203TS400_1,38.80978981132239
R1203TS403_1,22.460554454728857
R1203TS417_4,47.319868574605955
R1203TS423_1,27.514610177749205
R1203TS435_5,55.05216669080706
R1203TS448_1,43.22619922033367
R1203TS450_2,23.62705403896776
R1203TS456_2,35.663852170821556
R1203TS462_1,26.622571480626142
R1203TS481_5,34.082992223426814
