Model,Composite_Score_1
R1203TS006_5,49.45115025305702
R1203TS028_2,36.01934010045191
R1203TS033_5,
R1203TS052_4,40.02143989463084
R1203TS063_3,36.40950107785842
R1203TS094_3,14.362263231613161
R1203TS110_5,43.88528295680125
R1203TS156_1,37.34519945993034
R1203TS159_1,56.63520708245942
R1203TS165_5,46.10574444817182
R1203TS167_2,39.69977388800789
R1203TS169_2,27.091596870985693
R1203TS183_2,35.85469687317509
R1203TS189_1,35.42532579477269
R1203TS208_1,18.600438948470554
R1203TS231_5,47.18156874489563
R1203TS235_5,44.935633346377436
R1203TS238_5,44.546585445387315
R1203TS241_2,43.483732364607604
R1203TS261_3,26.46165740920008
R1203TS267_3,45.64741736241636
R1203TS272_1,44.47960301154888
R1203TS276_1,41.667300711767474
R1203TS286_1,40.32772525777395
R1203TS294_3,42.59131248106796
R1203TS298_1,21.84701209485877
R1203TS304_2,43.483732364607604
R1203TS306_1,15.632079051419513
R1203TS317_4,47.45301516212042
R1203TS338_3,37.811607535374534
R1203TS358_1,28.451932260769958
R1203TS367_1,31.65857643368762
R1203TS369_5,40.6235494603434
R1203TS400_1,43.12172595410529
R1203TS403_1,22.429786692315847
R1203TS417_4,48.7136274619369
R1203TS423_1,21.84701209485877
R1203TS435_6,51.932822150142194
R1203TS448_1,37.30597396112672
R1203TS450_4,22.11668101570625
R1203TS456_1,33.24864337041838
R1203TS462_1,38.3192653838761
R1203TS481_5,40.83166431658663
