Model,Global_LDDT,Local_LDDT,GDT_TS,RMSD,Local_GDT
T1214TS020_2,68.65,56.33178571428571,77.531,80.6311617159737,33.525868122251616
T1214TS361_1,64.4,60.12857142857142,75.153,81.75089280864194,65.97987402014999
T1214TS075_2,79.69000000000001,67.89071428571428,90.567,89.92101989071904,52.70081310331991
T1214TS386_2,81.83,62.525000000000006,92.216,87.55406764697018,31.557580713552674
T1214TS227_4,81.87,68.19642857142857,92.715,91.1773744869091,51.29451659254264
T1214TS425_3,81.22,68.11214285714286,93.021,91.66885902153659,56.46503316889168
T1214TS456_5,85.89,84.61678571428571,96.971,95.07806205094502,91.8068035532243
T1214TS167_1,35.66,22.85285714285714,68.098,76.87702069017143,33.32873153833929
T1214TS462_6,89.03,66.11392857142857,95.514,89.11833777488738,34.02340465980423
T1214TS272_3,82.76,70.55857142857143,93.29,92.06695023499128,59.634909286623206
T1214TS494_4,96.08,93.92607142857142,99.962,98.40926449836537,98.05259701287602
T1214TS388_3,80.01,69.50535714285715,91.756,91.12182638277699,59.63961870197867
T1214TS198_2,82.13000000000001,71.01678571428572,93.712,92.56493397163362,65.06248214127802
T1214TS139_5,81.13,72.64107142857144,90.683,92.11054616914255,89.84702444574427
T1214TS262_3,85.75,85.69214285714285,97.009,95.1125979075645,94.6995164640093
T1214TS345_6,82.32000000000001,70.98214285714286,93.558,92.23194278757376,60.81165830006211
T1214TS314_2,82.57,69.71428571428572,92.715,91.21430167642808,52.597951272286444
T1214TS425_4,91.47,88.96,98.121,96.06827834006998,91.84543432854868
T1214TS120_6,72.45,64.00214285714286,83.627,86.72095155319737,55.435305111659595
T1214TS227_5,81.87,68.19642857142857,92.715,91.1773744869091,51.29451659254264
T1214TS461_4,71.02000000000001,64.255,79.218,87.23816717102434,76.07037734954869
T1214TS208_1,82.8,69.79857142857144,93.29,91.72253663770694,57.04347140124037
T1214TS079_5,81.55,67.62821428571428,93.213,91.47952531079527,52.9865815596698
T1214TS408_5,70.95,53.32607142857143,83.704,86.22755982540946,58.48741131646814
T1214TS102_3,82.47,68.34678571428572,93.175,90.78455349501452,47.17889376869134
T1214TS274_2,95.76,93.69,99.923,98.42351906239345,98.09088940076455
T1214TS311_3,82.09,68.61607142857142,93.52,91.65989474355389,54.26876216435581
T1214TS267_1,82.28,68.84714285714286,93.328,91.47952531079527,53.16213792819129
T1214TS059_2,87.03999999999999,88.33714285714287,98.313,96.06827834006998,95.51827192818334
T1214TS039_3,96.85000000000001,62.78535714285714,97.891,95.27687449197641,66.44469245377577
T1214TS022_1,85.91,84.30250000000001,96.319,94.92481784855256,90.66742450107724
T1214TS014_4,79.45,68.04285714285714,90.452,89.69087526075985,49.25963131096973
T1214TS075_4,79.54,68.80571428571429,90.452,90.57505693553846,57.90349822088894
T1214TS475_2,79.53,64.88250000000001,92.523,91.04746800342241,50.912976380166704
T1214TS075_3,80.0,67.72785714285715,91.411,90.39204471837527,52.73962573079782
T1214TS388_5,79.89,67.99535714285713,91.258,90.7750868559575,56.02539170926549
T1214TS022_2,86.00999999999999,85.53607142857143,96.702,95.01562517399023,92.97181841184579
T1214TS139_2,81.89999999999999,72.79571428571428,92.715,92.87387313496085,86.25019929616856
T1214TS314_4,82.84,71.56464285714286,93.098,92.197358908574,62.5461938725219
T1214TS286_2,86.56,88.36464285714285,98.121,95.7225738648762,95.23625317451634
T1214TS235_2,83.32000000000001,71.74357142857143,93.75,92.42071800695949,62.00491551420492
T1214TS055_4,79.06,58.955714285714286,90.376,84.52050457166683,28.028540764689456
T1214TS196_1,82.02000000000001,70.92500000000001,93.558,92.1279491233142,59.52644450412303
T1214TS272_4,82.76,70.55678571428572,93.29,92.06695023499128,59.63568953719196
T1214TS204_2,89.91,88.75714285714285,98.62,96.03676601678863,94.86037347333078
T1214TS015_4,81.43,69.95214285714286,92.14,90.76561490114103,52.56179647321438
T1214TS227_1,81.87,68.19642857142857,92.715,91.1773744869091,51.29451659254264
T1214TS408_2,80.87,68.195,93.06,91.5338532869863,54.31920441230619
T1214TS465_5,79.32000000000001,67.83500000000001,90.951,89.77125417345758,45.31514332324782
T1214TS314_3,82.72,69.87500000000001,92.6,91.58799496800653,57.02411576919277
T1214TS241_2,82.36,69.90214285714286,92.906,91.42501065904156,53.60706927796201
T1214TS311_5,82.19999999999999,70.12535714285715,93.021,91.98815816559744,59.22161581721652
T1214TS408_3,80.9,66.81464285714286,92.063,91.00082289979612,50.941339261194294
T1214TS425_2,80.38,67.52214285714285,91.91,90.44039372514642,49.816596619772845
T1214TS122_1,81.54,71.42892857142857,93.098,91.79381915429924,60.73338911491572
T1214TS015_3,78.62,64.1525,89.762,88.69869485216604,39.440496848003434
T1214TS465_2,79.25999999999999,64.88357142857143,91.028,89.09756819666363,40.890965542822194
T1214TS091_5,93.58,89.58178571428572,99.923,98.55052119437308,98.5531981163437
T1214TS198_4,90.64,75.09107142857144,96.587,93.16803580382248,55.72700314623054
T1214TS122_3,70.00999999999999,51.8325,81.058,64.58869940192668,44.79014497852024
T1214TS196_3,81.53,69.89928571428571,93.06,91.65989474355389,56.15332204829121
T1214TS059_1,86.92,89.22714285714285,98.351,96.14974056078752,95.74076465491393
T1214TS264_2,81.89999999999999,68.8825,93.137,91.74038805665819,55.91983108090687
T1214TS286_3,86.53999999999999,88.5592857142857,98.121,95.78749211028108,95.69774666884457
T1214TS369_3,79.80000000000001,72.29392857142857,90.798,91.43410941401645,68.48248642392207
T1214TS110_1,84.02,67.35,94.21,91.05678121683361,46.70326440795754
T1214TS264_6,82.84,71.56464285714286,93.098,92.197358908574,62.5461938725219
T1214TS019_2,79.85,68.46607142857142,90.913,90.31440638764444,53.550385933339044
T1214TS369_2,82.07,68.77392857142857,92.868,91.52481157174229,55.5768729023909
T1214TS264_5,82.57,69.71428571428572,92.715,91.21430167642808,52.597951272286444
T1214TS450_3,35.08,27.118571428571432,58.704,69.74456980655565,25.940387325850246
T1214TS147_5,79.97,70.80035714285715,91.373,91.1032683411173,61.14129848886739
T1214TS450_1,34.82,25.59107142857143,61.81,70.71154161493384,20.999082925642032
T1214TS475_3,80.41,64.84535714285714,92.638,91.06608916511665,49.77441352953138
T1214TS267_5,82.17999999999999,69.50285714285714,93.252,91.75821893953209,56.65668748808216
T1214TS208_4,82.02000000000001,64.86678571428571,92.216,87.93159372790207,31.949695767843732
T1214TS419_1,87.78,85.60142857142857,97.508,95.31755896040009,89.5907826453092
T1214TS361_3,62.63999999999999,46.33678571428571,75.959,75.13202365054212,46.208127528733485
T1214TS221_4,87.85,85.5875,97.316,95.23603658383695,89.50542387684325
T1214TS202_3,71.8,58.220000000000006,76.534,79.5931651922805,33.44562328997457
T1214TS369_5,80.5,75.21357142857143,90.913,92.1279491233142,74.26794498584357
T1214TS235_5,82.83,71.09107142857142,94.248,92.76609476346411,65.28528225752135
T1214TS393_6,82.57,69.71428571428572,92.715,91.21430167642808,52.597951272286444
T1214TS293_2,81.85,67.37535714285715,93.098,91.48859292681855,52.83436922808796
T1214TS298_3,81.81,62.96857142857143,92.255,87.5876459083474,31.92038182428269
T1214TS196_4,82.26,69.70857142857143,93.673,91.72253663770694,53.37088253913223
T1214TS221_5,87.69,85.95285714285714,97.354,95.24966629536966,90.06667510502756
T1214TS312_1,82.56,68.98857142857143,93.098,91.0194967553716,50.02732324021944
T1214TS423_5,80.54,68.53857142857143,92.676,91.2235203796063,57.15687337751893
T1214TS301_3,82.31,71.12142857142858,93.098,91.63297100208597,57.1530111897996
T1214TS274_3,95.85000000000001,93.77035714285714,99.962,98.43300611638278,98.15312102788042
T1214TS461_1,50.31,29.137857142857143,57.86,26.70386358350162,5.8417545474075245
T1214TS148_2,91.82000000000001,86.40178571428571,98.044,95.81979704004947,87.70879287978858
T1214TS274_1,98.66,97.16642857142857,100.0,98.92230939872302,98.83983805480219
T1214TS015_5,80.47,60.0,91.028,84.93614822445318,24.28822500112074
T1214TS198_3,81.83,69.51142857142857,93.098,91.90012842408734,58.93223376135932
T1214TS462_3,92.82000000000001,92.03285714285715,99.003,96.4568031797127,95.46919410819268
T1214TS462_2,79.85,69.15035714285715,91.334,90.92591632808673,58.555170491141055
T1214TS408_4,71.61,56.598214285714285,83.666,86.20380712194584,58.659904360240425
T1214TS361_5,62.849999999999994,46.83428571428571,75.844,75.00019860230225,51.591829638865455
T1214TS204_5,92.66,91.59964285714285,98.926,96.4265392926368,95.13705227665518
T1214TS331_2,80.08999999999999,68.9775,91.449,90.72767389093319,55.90621015909772
T1214TS388_4,80.22,67.46571428571428,91.488,90.09911838853799,46.10697325589077
T1214TS164_2,81.58,68.96142857142857,92.791,91.16812958670994,51.91433273127895
T1214TS386_1,81.83,62.35142857142858,92.293,87.40796253324596,31.93946510496559
T1214TS022_5,84.52,69.41142857142857,94.824,90.97277254712003,43.98779359949282
T1214TS059_4,86.55000000000001,88.77964285714286,98.313,96.07456873420536,95.56594502304756
T1214TS163_4,82.26,69.44392857142857,93.52,92.1279491233142,59.9077648887674
T1214TS262_2,85.85000000000001,86.04,97.086,95.1194921404921,94.76797914234483
T1214TS304_2,82.36,69.90214285714286,92.906,91.42501065904156,53.60706927796201
T1214TS345_2,82.32000000000001,70.98214285714286,93.558,92.23194278757376,60.81165830006211
T1214TS375_1,80.11,68.41107142857143,93.06,92.0057030528546,59.7288028908455
T1214TS465_4,79.53,65.61285714285715,91.449,89.54936586114677,43.41323444021514
T1214TS019_1,84.64,72.03999999999999,94.594,91.79381915429924,50.74351481483706
T1214TS207_1,82.55,68.71392857142857,93.021,90.97277254712003,48.77091764191194
T1214TS147_2,79.85,69.15035714285715,91.334,90.92591632808673,58.555170491141055
T1214TS284_1,80.06,69.64285714285714,90.874,90.81292153433127,58.6121900705895
T1214TS475_4,80.13,65.42571428571428,92.791,91.13109752301452,50.735314328797024
