Model,Composite_Score_2
R1203TS006_2,57.890904640949586
R1203TS028_3,56.026340711119445
R1203TS033_5,
R1203TS052_2,52.6607705497356
R1203TS063_3,43.32990717115842
R1203TS094_2,22.6614720019022
R1203TS110_1,32.14972740132964
R1203TS156_1,58.97744458162994
R1203TS159_1,63.911896784843705
R1203TS165_3,45.049996996061374
R1203TS167_2,48.25918841509131
R1203TS169_5,28.99888254590948
R1203TS183_5,52.534661621801504
R1203TS189_5,58.11951010107924
R1203TS208_1,25.52279946179591
R1203TS231_1,61.76967670267137
R1203TS235_2,66.44822758389648
R1203TS238_5,52.69988294360174
R1203TS241_3,71.29599811288819
R1203TS261_3,26.71456615576736
R1203TS267_1,51.46692344764516
R1203TS272_1,47.9817369715998
R1203TS276_1,46.882635316221844
R1203TS286_1,53.674456290776
R1203TS294_1,47.73492369691099
R1203TS298_1,34.393245372474865
R1203TS304_3,71.29599811288819
R1203TS306_1,15.875110922912846
R1203TS317_4,41.11267306335701
R1203TS338_5,42.86995583419415
R1203TS358_2,32.12171734784119
R1203TS367_1,35.48306818423095
R1203TS369_2,58.885618778171505
R1203TS400_1,48.37830342163001
R1203TS403_1,27.552941694249565
R1203TS417_4,59.14634730015714
R1203TS423_1,34.393245372474865
R1203TS435_5,68.50157601998266
R1203TS448_1,54.03064226587007
R1203TS450_2,29.533817120688894
R1203TS456_2,44.5794553147429
R1203TS462_1,33.27820358711738
R1203TS481_5,42.35188853612668
