Model,Global_GDT,Version,Group
T1228v2TS264_2,60.066,v2,TS264
T1228v1TS148_3,60.066,v1,TS148
T1228v2TS028_5,55.384,v2,TS028
T1228v2TS167_3,55.337,v2,TS167
T1228v2TS450_3,55.337,v2,TS450
T1228v1TS314_1,55.009,v1,TS314
T1228v1TS022_1,54.916,v1,TS022
T1228v1TS091_5,54.635,v1,TS091
T1228v2TS110_5,53.558,v2,TS110
T1228v2TS147_1,53.371,v2,TS147
T1228v2TS462_5,53.043,v2,TS462
T1228v1TS212_2,52.481,v1,TS212
T1228v1TS052_2,52.388,v1,TS052
T1228v1TS456_2,52.388,v1,TS456
T1228v2TS262_4,52.341,v2,TS262
T1228v1TS241_2,51.826,v1,TS241
T1228v1TS033_4,51.826,v1,TS033
T1228v2TS301_4,50.702,v2,TS301
T1228v2TS284_4,50.702,v2,TS284
T1228v2TS075_4,50.702,v2,TS075
T1228v2TS122_4,50.702,v2,TS122
T1228v2TS481_5,50.655,v2,TS481
T1228v2TS019_4,50.281,v2,TS019
T1228v1TS294_3,49.438,v1,TS294
T1228v2TS375_5,49.345,v2,TS375
T1228v2TS475_5,48.83,v2,TS475
T1228v2TS014_2,48.549,v2,TS014
T1228v2TS204_2,48.408,v2,TS204
T1228v1TS304_1,48.174,v1,TS304
T1228v1TS298_1,47.8,v1,TS298
T1228v1TS286_3,47.706,v1,TS286
T1228v2TS419_2,47.659,v2,TS419
T1228v1TS274_2,47.519,v1,TS274
T1228v1TS494_2,47.519,v1,TS494
T1228v2TS465_1,47.472,v2,TS465
T1228v2TS221_1,47.378,v2,TS221
T1228v1TS425_3,47.331,v1,TS425
T1228v1TS231_4,47.331,v1,TS231
T1228v1TS331_4,47.331,v1,TS331
T1228v1TS319_4,47.331,v1,TS319
T1228v1TS051_2,47.331,v1,TS051
T1228v1TS345_2,47.331,v1,TS345
T1228v1TS369_1,47.285,v1,TS369
T1228v1TS312_4,47.238,v1,TS312
T1228v2TS287_1,47.004,v2,TS287
T1228v1TS311_5,46.723,v1,TS311
T1228v2TS164_2,46.723,v2,TS164
T1228v2TS208_5,46.348,v2,TS208
T1228v1TS198_2,46.161,v1,TS198
T1228v2TS059_3,45.974,v2,TS059
T1228v1TS267_1,45.88,v1,TS267
T1228v1TS235_3,45.833,v1,TS235
T1228v1TS196_5,45.365,v1,TS196
T1228v1TS489_2,45.272,v1,TS489
T1228v2TS388_3,45.131,v2,TS388
T1228v1TS079_2,44.944,v1,TS079
T1228v1TS293_2,44.944,v1,TS293
T1228v1TS159_1,44.944,v1,TS159
T1228v1TS325_1,44.944,v1,TS325
T1228v1TS015_5,44.429,v1,TS015
T1228v1TS017_5,43.633,v1,TS017
T1228v1TS112_4,43.633,v1,TS112
T1228v1TS145_3,43.633,v1,TS145
T1228v1TS163_2,42.79,v1,TS163
T1228v1TS269_1,42.275,v1,TS269
T1228v1TS023_3,39.841,v1,TS023
T1228v2TS139_2,39.56,v2,TS139
T1228v2TS120_1,37.734,v2,TS120
T1228v2TS361_1,33.333,v2,TS361
